title,price,date
STEYR AUG Z .223 Rem,350 000 руб.,"Сегодня, в 11:35"
Norinco CQ-A,170 000 руб.,"Вчера, в 21:55"
"Kel Tec SU-16F, кал.223Rem",390 000 руб.,"Вчера, в 20:30"
"Steyr Mannlicher, SBS 96 Full Stock, кал.223Rem",340 000 руб.,"Вчера, в 20:30"
"CZ-527, кал.223Rem",120 000 руб.,"Вчера, в 18:35"
"Вепрь-Супер-(СОК-97М-01)-5,56-45",100 000 руб.,"15 Сентября, в 19:13"
Сайга мк 223rem,54 000 руб.,"Сегодня, в 14:28"
Tikka T3.    223 Rem. 8,160 000 руб.,"Сегодня, в 12:27"
Blaser R93  222 rem + расходка,288 000 руб.,"Сегодня, в 12:16"
CZ 527FS,100 000 руб.,"Сегодня, в 11:06"
Лось Байкал 145 223rem,145 000 руб.,"Сегодня, в 09:52"
Продам atr 15  Alfatech (Альфа Технология) AR-15 кал. 223,450 000 руб.,"Сегодня, в 09:44"
Сайга-МК,100 000 руб.,"Сегодня, в 09:06"
Вепрь 223,35 000 руб.,"Сегодня, в 08:58"
Norinco CQ-A,185 000 руб.,"Сегодня, в 08:40"
Чезет 527 люкс,95 000 руб.,"Вчера, в 22:03"
Мр 18,40 000 руб.,"Вчера, в 19:45"
Blaser R 93,800 000 руб.,"Вчера, в 18:43"
"Вепрь супер, 223 Rem, оптика Bushnell",88 000 руб.,"Вчера, в 18:20"
Карабин NEA 15 ( ar15 ). 223rem,777 000 руб.,"Вчера, в 18:18"
Блазер R93 только ствол,150 000 руб.,"Вчера, в 15:29"
Меркель SR-1,250 000 руб.,"Вчера, в 15:11"
"AR 15 от ORSIS (AS-15 тот же V-AR) rem 223 (5,56x45)",295 000 руб.,"Вчера, в 14:21"
AUG Z Mannlicher  223 rem,350 000 руб.,"Вчера, в 13:45"
Горностай 193-02,60 000 руб.,"Вчера, в 13:36"
TIKKA T3 HANTER 223R,170 000 руб.,"Вчера, в 12:30"
CZ-527 Lux,170 000 руб.,"Вчера, в 12:03"
CZ 527 Carbine Synthetic 223 Rem M14*1,149 000 руб.,"Вчера, в 11:42"
Застава м85,150 000 руб.,"Вчера, в 10:31"
Орсис 140м,220 000 руб.,"Вчера, в 07:15"
АТ15 Alfatech,349 900 руб.,"15 Сентября, в 23:06"
Сайга 223,60 000 руб.,"15 Сентября, в 19:52"
"ARCAN-15 .223 REM - 12,5"" (Новый)",339 000 руб.,"15 Сентября, в 19:31"
Карабин CZ 527 LUX калибр 223,115 000 руб.,"15 Сентября, в 16:32"
Steyr aug,300 000 руб.,"15 Сентября, в 14:58"
Сайга МК Легион,55 000 руб.,"15 Сентября, в 14:35"
Карабин Tikka T3 Sporter 223Rem,420 000 руб.,"15 Сентября, в 14:20"
Классический охотничий карабин c продольно-скользящим затвором MANNLICHER SBS 96  223 REM,160 000 руб.,"15 Сентября, в 11:16"
Продам Карабин Schmeisser AR15 M5 кал. 223 Rem.,450 000 руб.,"15 Сентября, в 10:36"
САЙГА МК 03 ЛЕГИОН,80 000 руб.,"15 Сентября, в 09:40"
Вепрь-Супер 223Rem,120 000 руб.,"15 Сентября, в 09:21"
Heckler & Koch sl8,500 000 руб.,"15 Сентября, в 09:21"
Сайга 032 Сварог,150 000 руб.,"15 Сентября, в 09:11"
"NORINCO CQ-A, Норинко AR-15 (M4)",196 000 руб.,"15 Сентября, в 08:59"
Мр-18МН к.223,15 000 руб.,"15 Сентября, в 08:25"
Orsis 120 223 Rem,134 000 руб.,"15 Сентября, в 06:56"
Tikka T3 Lite 223Rem,195 000 руб.,"15 Сентября, в 05:50"
Cz -527  кал.223,130 000 руб.,"14 Сентября, в 21:29"
"Карабин  ИТАЛИЯ ADC M5-PLUS .223 Rem, 16"" тел +7495-175-75-75",309 900 руб.,"14 Сентября, в 20:41"
Вепрь 223 Rem,45 000 руб.,"14 Сентября, в 20:34"
Cz нарезное,100 000 руб.,"14 Сентября, в 19:35"
SDI AR 15,500 000 руб.,"14 Сентября, в 17:07"
Сайга МК 223,50 000 руб.,"14 Сентября, в 16:42"
Сайга-223 223 Rem 415 мм,50 000 руб.,"14 Сентября, в 12:25"
145 Лось,117 000 руб.,"14 Сентября, в 12:23"
"Blaser R-93 Professional 375H&H, 223",480 000 руб.,"14 Сентября, в 06:12"
