position,title,price,date,link,location
1,CZ 550 exclusive 308,255 000 руб.,"Вчера, в 19:25",https://gunsbroker.ru/hunting/895589_cz-550-exclusive-308.html,Москва
2,Новые Blaser R8,1 200 руб.,"Вчера, в 16:20",https://gunsbroker.ru/hunting/895656_novye-blaser-r8.html,Москва
3,Карабин Blaser R8 Ultimate X Leather .308Win Match THR 18x1 новый,1 850 000 руб.,"Вчера, в 15:22",https://gunsbroker.ru/hunting/867745_karabin-blaser-r8-ultimate-carbon-308win-match-thr.html,Москва
4,LDT 10-20 308 Win,330 000 руб.,"Вчера, в 15:15",https://gunsbroker.ru/hunting/879921_ldt-10-20-308-win.html,"Свердловская область, Екатеринбург"
5,"ВПО-106, кал.308Win, ""Zastava Arms""",60 000 руб.,"Вчера, в 15:05",https://gunsbroker.ru/hunting/896369_vpo-106-kal308win-zastava-arms.html,Москва
6,STEYR mannlicher scout 308 кал,390 000 руб.,"Вчера, в 14:55",https://gunsbroker.ru/hunting/900763_steyr-mannlicher-scout.html,Москва
7,Хейм SR21 308 кал,290 000 руб.,"Вчера, в 13:40",https://gunsbroker.ru/hunting/899578_heym-st21.html,Москва
8,CZ 557 ECLIPSE 308Win,190 000 руб.,"Вчера, в 12:25",https://gunsbroker.ru/hunting/890914_cz-557-eclipse-308win.html,"Новосибирская область, Бердск"
9,"Сайга 308 -1 исп.61, 555",79 900 руб.,"Вчера, в 10:28",https://gunsbroker.ru/hunting/887871_sayga-308--1-isp61-555.html,Москва
10,"НОВИНКА ОТ МОЛОТ АРМЗ! Молот 308 L  500,600 ЛЮБЕРЕЦКИЙ АРСЕНАЛ",168 000 руб.,"Вчера, в 10:27",https://gunsbroker.ru/hunting/746142_molot-308-500-molot-308-02-600.html,Москва
11,Franchi horizon 308Win,170 000 руб.,"Вчера, в 08:49",https://gunsbroker.ru/hunting/820264_franchi-horizon-308win.html,"Иркутская область, Иркутск"
